codigo_oc,fecha,mes,organismo,region,rubro,proveedor,monto
906-1-SE25,2025-01-02,1,SERVICIO AGRICOLA Y GANADERO,Region de la Araucania,"Servicios de defensa nacional, orden público y seguridad",P.P.I. SEGURIDAD SPA,82680000
1376-987-SE24,2025-01-02,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Atacama,"Alimentos, bebidas y tabaco",FERNANDO GABRIEL LEIVA PANGUE,2094526
611669-642-SE24,2025-01-02,1,Superintendencia del Medio Ambiente,Region Metropolitana de Santiago,Equipamiento para laboratorios,AMBIENTE Y TECNOLOGIA LTDA,2928000
5651-197-SE24,2025-01-02,1,CORP NACIONAL FORESTAL,Region de Tarapaca,"Muebles, accesorios, electrodomésticos y productos electrónicos",COMERCIALIZADORA Y SERVICIOS NUEVO HORIZONTE LIMITADA,11111799
5251-2200-SE24,2025-01-02,1,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Region Metropolitana de Santiago,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",SILVERBOOKS SPA,3001000
1036-531-SE24,2025-01-02,1,CORP NACIONAL FORESTAL,Region del Biobio,Vehículos y equipamiento en general,TRANSPORTES ALMASIL LTDA.,35662361
5651-197-SE24,2025-01-02,1,CORP NACIONAL FORESTAL,Region de Tarapaca,"Ropa, maletas y productos de aseo personal",COMERCIALIZADORA Y SERVICIOS NUEVO HORIZONTE LIMITADA,11111799
619-431-SE24,2025-01-02,1,SUBSECRETARIA DEL MINISTERIO DE HACIENDA,Region Metropolitana de Santiago,"Artículos para estructuras, obras y construcciones",ALFOMBRAS CHECOESLOVAQUIA SPA,46520000
1376-991-SE24,2025-01-02,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Atacama,"Alimentos, bebidas y tabaco",COMERCIALIZADORA  SAN NICOLAS  SPA,2332800
548856-142-SE24,2025-01-02,1,INSTITUTO DE PREVISION SOCIAL,Region de Valparaiso,Servicios de limpieza industrial,HIGIENE AMBIENTAL Y ASEO INDUSTRIAL SCORPIO LIMITADA,2670000
1376-991-SE24,2025-01-02,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Atacama,"Alimentos, bebidas y tabaco",COMERCIALIZADORA  SAN NICOLAS  SPA,2332800
