cantidad,tamano_num,monto_total,categoria,tamano_proveedor,region_comprador
41,3,73800.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
120,3,168000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
199,1,334586.24,Productos de panadería,Micro,Region de Los Rios
5,3,25000.0,Condimentos y preservantes,Mediana,Region de Atacama
3,3,10500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
125,3,112500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
75,3,75000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
125,3,150000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
75,3,22500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
150,3,210000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
5,3,25000.0,Condimentos y preservantes,Mediana,Region de Atacama
5,3,25000.0,Condimentos y preservantes,Mediana,Region de Atacama
175,1,507500.0,Condimentos y preservantes,Micro,Region del Nuble
6,3,10800.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
10,1,69000.0,Condimentos y preservantes,Micro,Region del Nuble
15,3,15000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
125,3,175000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
6,3,7800.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
230,1,387302.4,Productos de panadería,Micro,Region de Los Rios
275,3,385000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
35,3,35000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
40,3,28000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
130,3,169000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
50,1,70000.0,Condimentos y preservantes,Micro,Region del Nuble
25,1,397500.0,Condimentos y preservantes,Micro,Region del Nuble
20,3,26000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
125,3,175000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
30,3,39000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
50,1,445000.0,Condimentos y preservantes,Micro,Region del Nuble
220,1,4818000.0,Productos de carne y aves de corral,Micro,Region del Nuble
10,3,20000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
40,3,22000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
100,3,80000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
39,3,50700.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
120,3,156000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
27,3,40500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
85,3,102000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
100,3,100000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
9,3,40500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
41,3,53300.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
30,3,16500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
15,3,13500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
100,3,150000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
57,2,102600.0,Bebidas,Pequeña,Region de Valparaiso
30,2,2394000.0,Bebidas,Pequeña,Region Metropolitana de Santiago
100,1,290000.0,Condimentos y preservantes,Micro,Region del Nuble
4,3,7200.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
60,3,54000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
2,3,14000.0,Condimentos y preservantes,Mediana,Region de Atacama
2,3,7000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
300,3,360000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
130,1,897000.0,Condimentos y preservantes,Micro,Region del Nuble
59,2,106200.0,Bebidas,Pequeña,Region de Valparaiso
100,3,130000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
60,3,18000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
60,3,42000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
40,3,64000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
134,1,251920.0,Bebidas,Micro,Region de Atacama
462,2,693000.0,Productos de panadería,Pequeña,Region del Biobio
38,1,64819.36,Productos de panadería,Micro,Region de Los Rios
170,2,306000.0,Bebidas,Pequeña,Region de Valparaiso
135,3,162000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
200,4,3160000.0,Cereales y Legumbres,Grande,Region del Maule
60,2,46980.0,"Frutas, verduras y frutos secos",Pequeña,Region de Atacama
40,2,47400.0,"Frutas, verduras y frutos secos",Pequeña,Region de Atacama
150,1,2710050.0,Cereales y Legumbres,Micro,Region de la Araucania
10,2,5880.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
20,2,26880.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
100,2,210000.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
20,3,20000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
20,2,17120.0,"Frutas, verduras y frutos secos",Pequeña,Region de Atacama
20,3,30000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
30,3,22500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
45,2,76050.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
150,2,193500.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
30,2,10530.0,"Frutas, verduras y frutos secos",Pequeña,Region de Atacama
12,2,19080.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
39,1,66702.08,Productos de panadería,Micro,Region de Los Rios
70,3,84000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
25,3,46375.0,"Frutas, verduras y frutos secos",Mediana,Region Aysen del General Carlos IbaNez del Campo
70,3,104090.0,Pescados y mariscos,Mediana,Region Aysen del General Carlos IbaNez del Campo
150,3,54750.0,Condimentos y preservantes,Mediana,Region Aysen del General Carlos IbaNez del Campo
30,3,22740.0,Alimentos preparados y conservados,Mediana,Region Aysen del General Carlos IbaNez del Campo
75,3,63600.0,Alimentos preparados y conservados,Mediana,Region Aysen del General Carlos IbaNez del Campo
